
Label=ph(V(V_filt)) vs 2*PI*F
LabelX=2*PI*F
LabelY=ph(V(V_filt))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(V(V_filt)),ph(V(V_filt))
 3.1755753266093940E+001, 1.9952728233994159E+002, 0.0000000000000000E+000,-1.0287362049281407E+001, 0.0000000000000000E+000
 3.1988841361736441E+001, 2.0099181803776102E+002, 0.0000000000000000E+000,-1.0362806014017579E+001, 0.0000000000000000E+000
 3.2223640330362336E+001, 2.0246710346757217E+002, 0.0000000000000000E+000,-1.0438802286937523E+001, 0.0000000000000000E+000
 3.2460162729826010E+001, 2.0395321753270119E+002, 0.0000000000000000E+000,-1.0515354889834358E+001, 0.0000000000000000E+000
 3.2698421210156852E+001, 2.0545023971562688E+002, 0.0000000000000000E+000,-1.0592467873309946E+001, 0.0000000000000000E+000
 3.2938428514235810E+001, 2.0695825008223156E+002, 0.0000000000000000E+000,-1.0670145316970650E+001, 0.0000000000000000E+000
 3.3180197478476920E+001, 2.0847732928608335E+002, 0.0000000000000000E+000,-1.0748391329624177E+001, 0.0000000000000000E+000
 3.3423741033513856E+001, 2.1000755857274970E+002, 0.0000000000000000E+000,-1.0827210049477474E+001, 0.0000000000000000E+000
 3.3669072204891485E+001, 2.1154901978414279E+002, 0.0000000000000000E+000,-1.0906605644335841E+001, 0.0000000000000000E+000
 3.3916204113762539E+001, 2.1310179536289664E+002, 0.0000000000000000E+000,-1.0986582311802994E+001, 0.0000000000000000E+000
 3.4165149977589365E+001, 2.1466596835677646E+002, 0.0000000000000000E+000,-1.1067144279482314E+001, 0.0000000000000000E+000
 3.4415923110850841E+001, 2.1624162242312036E+002, 0.0000000000000000E+000,-1.1148295805179117E+001, 0.0000000000000000E+000
 3.4668536925754488E+001, 2.1782884183331353E+002, 0.0000000000000000E+000,-1.1230041177104125E+001, 0.0000000000000000E+000
 3.4923004932953795E+001, 2.1942771147729550E+002, 0.0000000000000000E+000,-1.1312384714077885E+001, 0.0000000000000000E+000
 3.5179340742270817E+001, 2.2103831686810020E+002, 0.0000000000000000E+000,-1.1395330765736411E+001, 0.0000000000000000E+000
 3.5437558063424071E+001, 2.2266074414642958E+002, 0.0000000000000000E+000,-1.1478883712737806E+001, 0.0000000000000000E+000
 3.5697670706761784E+001, 2.2429508008526076E+002, 0.0000000000000000E+000,-1.1563047966970073E+001, 0.0000000000000000E+000
 3.5959692584000521E+001, 2.2594141209448679E+002, 0.0000000000000000E+000,-1.1647827971759918E+001, 0.0000000000000000E+000
 3.6223637708969221E+001, 2.2759982822559181E+002, 0.0000000000000000E+000,-1.1733228202082708E+001, 0.0000000000000000E+000
 3.6489520198358711E+001, 2.2927041717636018E+002, 0.0000000000000000E+000,-1.1819253164773500E+001, 0.0000000000000000E+000
 3.6757354272476711E+001, 2.3095326829562046E+002, 0.0000000000000000E+000,-1.1905907398739103E+001, 0.0000000000000000E+000
 3.7027154256008394E+001, 2.3264847158802402E+002, 0.0000000000000000E+000,-1.1993195475171287E+001, 0.0000000000000000E+000
 3.7298934578782507E+001, 2.3435611771885885E+002, 0.0000000000000000E+000,-1.2081121997761027E+001, 0.0000000000000000E+000
 3.7572709776543135E+001, 2.3607629801889863E+002, 0.0000000000000000E+000,-1.2169691602913845E+001, 0.0000000000000000E+000
 3.7848494491727124E+001, 2.3780910448928736E+002, 0.0000000000000000E+000,-1.2258908959966158E+001, 0.0000000000000000E+000
 3.8126303474247202E+001, 2.3955462980646004E+002, 0.0000000000000000E+000,-1.2348778771402840E+001, 0.0000000000000000E+000
 3.8406151582280870E+001, 2.4131296732709919E+002, 0.0000000000000000E+000,-1.2439305773075667E+001, 0.0000000000000000E+000
 3.8688053783065044E+001, 2.4308421109312789E+002, 0.0000000000000000E+000,-1.2530494734422968E+001, 0.0000000000000000E+000
